1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,7,23
27,4,20
28,7,19
29,8,24
30,13,19
31,9,22
32,11,24
33,32,17
34,27,22
35,32,26
36,30,20
37,1,20
38,13,21
39,6,34
40,1,25
41,8,37
42,7,24
43,28,24
44,7,26
45,43,19
46,12,44
47,2,20
48,11,25
49,38,16
50,43,23
51,5,14
52,30,25
53,12,20
54,6,24
55,35,48
56,42,22
57,50,17
58,5,17
59,28,45
60,38,37
61,32,45
62,6,29
63,57,24
64,32,44
65,38,24
66,65,15
67,53,55
68,43,40
69,49,48
70,3,26
71,51,45
72,2,55
73,62,26
74,71,14
75,12,17
76,11,40
77,73,70
78,8,20
79,39,44
80,51,70
81,57,47
82,72,25
83,6,75
84,9,60
85,53,61
86,80,44
87,41,45
88,28,24
89,57,14
90,85,69
91,13,47
92,57,60
93,41,26
94,10,70
95,94,56
96,57,44
97,3,74
98,79,84
99,92,96
100,85,25
101,5,91
102,99,40
103,67,84
104,79,15
105,38,24
106,62,91
107,71,22
108,28,23
109,35,105
110,46,48
111,90,78
112,66,20
113,32,15
114,2,52
115,38,56
116,87,52
117,93,48
118,76,81
119,92,20
120,53,74
121,116,24
122,10,19
123,87,118
124,50,17
125,101,29
126,8,18
127,7,48
128,87,34
129,83,91
130,12,117
131,12,70
132,4,23
133,103,75
134,80,104
135,94,21
136,42,22
137,11,69
138,10,121
139,51,105
140,122,14
141,139,44
142,89,21
143,90,17
144,116,20
145,1,23
146,73,144
147,139,48
148,110,54
149,42,44
150,5,40
151,5,37
152,33,56
153,112,52
154,114,58
155,87,14
156,67,54
157,110,97
158,120,119
159,13,55
160,67,55
161,59,21
162,145,119
163,32,58
164,103,88
165,68,104
166,51,22
167,39,23
168,38,15
169,120,91
170,62,44
171,170,70
172,31,164
173,80,171
174,120,152
175,11,134
176,2,121
177,165,34
178,8,44
179,90,113
180,82,138
181,120,17
182,13,37
183,137,155
184,59,44
185,90,84
186,63,96
187,122,138
188,77,34
189,79,104
190,6,109
191,136,81
192,82,174
193,110,127
194,51,56
195,120,96
196,141,185
197,114,20
198,197,88
199,101,23
200,176,130
